10198	Pennsylvania	30198
10198	Pennsylvania	30198
10198	Pennsylvania	30198
10198	Pennsylvania	30198
10198	Pennsylvania	30198
10198	Pennsylvania	30198
10204	Alaska	30204
10208	Georgia	30208
10208	Georgia	30208
10208	Georgia	30208
10215	Oklahoma	30167
10215	Oklahoma	30167
10216	Georgia	30216
10216	Georgia	30216
10216	Georgia	30216
10216	Georgia	30216
10216	Georgia	30216
10219	Alaska	30219
10221	Nebraska	30221
10221	Nebraska	30221
10221	Nebraska	30221
10221	Nebraska	30221
10221	Nebraska	30221
10222	Alaska	30222
10223	Indiana	30223
10223	Indiana	30223
10224	South Carolina	30224
10224	South Carolina	30224
10224	South Carolina	30224
10225	Alaska	30225
10225	Alaska	30225
10227	New Jersey	30158
10227	New Jersey	30158
10228	Missouri	30228
10228	Missouri	30228
10237	Alaska	30237
10237	Alaska	30237
10238	Ohio	30647
10241	Alaska	30241
10241	Alaska	30241
10243	Alaska	30243
10243	Alaska	30243
10245	Alaska	30245
10245	Alaska	30245
10246	Colorado	30246
10246	Colorado	30246
10247	Alaska	30247
10247	Alaska	30247
10253	Alabama	30253
10254	Alabama	30254
10254	Alabama	30254
10255	Alabama	30255
10255	Alabama	30255
10255	Alabama	30255
10255	Alabama	30255
10255	Alabama	30255
10255	Alabama	30255
10257	New York	30257
10257	New York	30257
10259	Texas	30259
10259	Texas	30259
10263	Texas	30263
10263	Texas	30263
10266	New Mexico	30266
10266	New Mexico	30266
10266	New Mexico	30266
10266	New Mexico	30266
10266	New Mexico	30266
10266	New Mexico	30266
10267	Illinois	31123
10267	Illinois	31123
10268	Iowa	30268
10268	Iowa	30268
10272	Colorado	30272
10272	Colorado	30272
10272	Colorado	30272
10272	Colorado	30272
10272	Colorado	30272
10275	Washington	30275
10275	Washington	30275
10275	Washington	30275
10275	Washington	30275
10275	Washington	30275
10275	Washington	30275
10276	Alabama	30276
10276	Alabama	30276
10278	Alaska	30278
10279	Texas	30279
10279	Texas	30279
10279	Texas	30279
10285	Colorado	30285
10285	Colorado	30285
10288	Michigan	30288
10288	Michigan	30288
10294	Iowa	30294
10294	Iowa	30294
10297	California	30297
10298	Alabama	30298
10298	Alabama	30298
10298	Alabama	30298
10298	Alabama	30298
10298	Alabama	30298
10299	Alaska	30299
10299	Alaska	30299
10299	Alaska	30299
10299	Alaska	30299
10299	Alaska	30299
10299	Alaska	30299
10300	South Carolina	30300
10300	South Carolina	30300
10304	Alaska	30304
10307	Alaska	30307
10307	Alaska	30307
10307	Alaska	30307
10307	Alaska	30307
10307	Alaska	30307
10309	Maryland	30309
10309	Maryland	30309
10313	Alaska	30313
10313	Alaska	30313
10317	Ohio	30317
10317	Ohio	30317
10322	Pennsylvania	30322
10322	Pennsylvania	30322
10324	Alaska	30324
10325	Colorado	30325
10325	Colorado	30325
10325	Colorado	30325
10325	Colorado	30325
10325	Colorado	30325
10327	California	30327
10327	California	30327
10327	California	30327
10327	California	30327
10329	Florida	30329
10329	Florida	30329
10329	Florida	30329
10329	Florida	30329
10329	Florida	30329
10330	Maryland	30330
10330	Maryland	30330
10330	Maryland	30330
10333	Michigan	30333
10333	Michigan	30333
10336	Tennessee	30336
10337	California	30337
10337	California	30337
10337	California	30337
10344	Alaska	30344
10344	Alaska	30344
10344	Alaska	30344
10344	Alaska	30344
10344	Alaska	30344
10345	Arkansas	30345
10345	Arkansas	30345
10345	Arkansas	30345
10346	Arkansas	30346
10346	Arkansas	30346
10346	Arkansas	30346
10346	Arkansas	30346
10347	Louisiana	30347
10347	Louisiana	30347
10347	Louisiana	30347
10348	Michigan	30348
10348	Michigan	30348
10349	Alaska	30349
10349	Alaska	30349
10351	Puerto Rico	30351
10351	Puerto Rico	30351
10351	Puerto Rico	30351
10351	Puerto Rico	30351
10351	Puerto Rico	30351
10352	Arkansas	30352
10352	Arkansas	30352
10361	New York	30361
10361	New York	30361
10361	New York	30361
10361	New York	30361
10361	New York	30361
10363	Wisconsin	30363
10365	New Jersey	30365
10372	Colorado	30372
10372	Colorado	30372
10372	Colorado	30372
10372	Colorado	30372
10372	Colorado	30372
10374	New Hampshire	30374
10374	New Hampshire	30374
10374	New Hampshire	30374
10374	New Hampshire	30374
10374	New Hampshire	30374
10374	New Hampshire	30374
10378	Texas	30378
10378	Texas	30378
10380	Alabama	30380
10380	Alabama	30380
10383	Nevada	30383
10383	Nevada	30383
10383	Nevada	30383
10383	Nevada	30383
10383	Nevada	30383
10385	Oregon	30385
10385	Oregon	30385
10388	Wisconsin	30388
10388	Wisconsin	30388
10389	North Dakota	30389
10389	North Dakota	30389
10389	North Dakota	30389
10389	North Dakota	30389
10389	North Dakota	30389
10389	North Dakota	30389
10393	Oklahoma	30393
10393	Oklahoma	30393
10396	Alaska	30396
10396	Alaska	30396
10396	Alaska	30396
10396	Alaska	30396
10396	Alaska	30396
10397	Georgia	30397
10397	Georgia	30397
10397	Georgia	30397
10397	Georgia	30397
10397	Georgia	30397
10397	Georgia	30397
