county,id,sh_usfr_within_50miles,sh_usfr_within_100miles,sh_usfr_within_500miles
13053,412,0.12,0.14,0.43
13055,413,0.76,0.83,0.93
13057,414,0.55,0.6,0.8
13059,415,0.46,0.65,0.86
13061,416,0.62,0.73,0.92
13063,417,0.47,0.51,0.75
13065,418,0.67,0.77,0.92
13067,419,0.46,0.5,0.73
13069,420,0.63,0.73,0.92
13071,421,0.65,0.72,0.91
13073,422,0.49,0.56,0.82
13075,423,0.65,0.7,0.9
13077,424,0.61,0.68,0.84
13079,425,0.68,0.79,0.91
13081,426,0.66,0.74,0.92
13083,427,0.69,0.74,0.89
13085,428,0.64,0.71,0.87
13087,429,0.63,0.72,0.91
13089,430,0.45,0.49,0.72
13091,431,0.65,0.75,0.93
13093,432,0.66,0.73,0.91
13095,433,0.58,0.66,0.9
13097,434,0.51,0.55,0.77
13099,435,0.65,0.74,0.93
13101,436,0.6,0.68,0.84
13103,437,0.59,0.63,0.85
13105,438,0.68,0.81,0.93
13107,439,0.62,0.76,0.93
13109,440,0.66,0.72,0.91
13111,441,0.62,0.74,0.88
13113,442,0.48,0.54,0.75
13115,443,0.68,0.76,0.9
13117,444,0.53,0.57,0.78
13119,445,0.66,0.78,0.92
13121,446,0.45,0.49,0.72
13123,447,0.6,0.73,0.88
13125,448,0.68,0.78,0.93
13127,449,0.48,0.58,0.83
13129,450,0.72,0.79,0.91
13131,451,0.64,0.7,0.9
13133,452,0.62,0.78,0.9
13135,453,0.48,0.51,0.73
13137,454,0.61,0.75,0.9
13139,455,0.61,0.71,0.86
13141,456,0.59,0.82,0.93
13143,457,0.74,0.81,0.92
13145,458,0.57,0.67,0.85
13147,459,0.7,0.81,0.93
13149,460,0.69,0.8,0.92
13151,461,0.49,0.56,0.78
13153,462,0.54,0.62,0.84
13155,463,0.61,0.73,0.93
13157,464,0.62,0.72,0.87
13159,465,0.67,0.77,0.9
13161,466,0.64,0.76,0.92
13163,467,0.66,0.75,0.93
13165,468,0.68,0.77,0.93
13167,469,0.68,0.79,0.94
13169,470,0.66,0.77,0.92
13171,471,0.65,0.78,0.91
13173,472,0.6,0.67,0.86
13175,473,0.63,0.74,0.92
13177,474,0.56,0.66,0.89
13179,475,0.3,0.32,0.66
13181,476,0.65,0.75,0.92
13183,477,0.45,0.49,0.75
13185,478,0.49,0.57,0.86
13187,479,0.53,0.71,0.89
13189,480,0.71,0.78,0.93
13191,481,0.58,0.65,0.87
13193,482,0.69,0.77,0.91
13195,483,0.67,0.77,0.9
13197,484,0.57,0.73,0.89
13199,485,0.66,0.79,0.91
13201,486,0.64,0.75,0.93
13205,487,0.67,0.74,0.92
13207,488,0.64,0.77,0.91
13209,489,0.59,0.71,0.92
13211,490,0.66,0.78,0.91
13213,491,0.74,0.81,0.92
13215,492,0.56,0.66,0.84
13217,493,0.61,0.66,0.83
13219,494,0.56,0.68,0.86
13221,495,0.63,0.77,0.91
13223,496,0.59,0.65,0.82
13225,497,0.56,0.71,0.88
13227,498,0.69,0.75,0.89
13229,499,0.67,0.76,0.91
13231,500,0.7,0.78,0.91
13233,501,0.76,0.82,0.92
13235,502,0.65,0.71,0.91
13237,503,0.61,0.76,0.9
13239,504,0.56,0.72,0.91
13241,505,0.58,0.71,0.89
13243,506,0.56,0.69,0.91
13245,507,0.58,0.63,0.86
13247,508,0.5,0.55,0.76
13249,509,0.65,0.75,0.93
13251,510,0.58,0.74,0.91
13253,511,0.62,0.73,0.92
13255,512,0.74,0.79,0.9
13257,513,0.64,0.75,0.9
13259,514,0.63,0.73,0.91
13261,515,0.6,0.71,0.92
13263,516,0.69,0.82,0.92
13265,517,0.58,0.76,0.91
13267,518,0.61,0.71,0.89
13269,519,0.67,0.79,0.92
13271,520,0.63,0.75,0.93
13273,521,0.66,0.75,0.92
13275,522,0.63,0.67,0.9
13277,523,0.62,0.69,0.91
13279,524,0.62,0.73,0.91
13281,525,0.48,0.68,0.88
13283,526,0.67,0.78,0.94
13285,527,0.68,0.79,0.92
13287,528,0.66,0.75,0.92
13289,529,0.71,0.82,0.93
